num,imdb_id,number_of _posters
1,tt1825683,108
2,tt3890160,79
3,tt1389072,55
4,tt1648190,95
5,tt2380307,71
6,tt3411444,53
7,tt2527336,163
8,tt3450958,86
9,tt3469046,80
10,tt1981128,55
11,tt2091256,39
12,tt2557478,48
13,tt0974015,151
14,tt3501632,105
15,tt1856101,99
16,tt4500922,59
17,tt3532216,47
18,tt4477536,44
19,tt4701724,32
20,tt2798920,41
21,tt2239822,106
22,tt2334871,27
23,tt3402236,94
24,tt1469304,106
25,tt1677720,60
26,tt5013056,56
27,tt4649466,106
28,tt2406566,67
29,tt1959563,69
30,tt5301662,13
31,tt4877122,42
32,tt1758810,52
33,tt2296777,16
34,tt1365519,35
35,tt1620680,62
36,tt2873282,43
37,tt3564472,20
38,tt3829920,26
39,tt3371366,112
40,tt2039338,60
41,tt5721088,8
42,tt1396484,79
43,tt5117670,47
44,tt3348730,66
45,tt1072748,29
46,tt5001718,30
47,tt5580036,41
48,tt6359956,37
49,tt5657846,33
50,tt4695012,28
51,tt2704998,26
52,tt5439796,42
53,tt6294822,41
54,tt1259528,30
55,tt1413492,32
56,tt2776878,11
57,tt6288250,10
58,tt4663548,8
59,tt4103724,2
60,tt5027774,58
61,tt1137450,28
62,tt5580390,71
63,tt5308322,46
64,tt0465234,52
65,tt1615160,46
66,tt6217804,9
67,tt6063050,7
68,tt6802308,14
69,tt6000478,14
70,tt4925292,41
71,tt5727282,26
72,tt6450186,8
73,tt7388562,5
74,tt5164432,15
75,tt6175394,2
76,tt0117008,16
77,tt5360952,19
78,tt6101820,4
79,tt0451279,139
80,tt1473832,50
81,tt0493405,23
82,tt1489889,45
83,tt1289401,76
84,tt1485796,52
85,tt0490215,48
86,tt3062096,69
87,tt1355644,91
88,tt1293847,102
89,tt1666185,14
90,tt1679335,50
91,tt2398241,66
92,tt1790809,162
93,tt2592614,76
94,tt2094766,74
95,tt1935859,64
96,tt3521164,99
97,tt2316204,90
98,tt2567026,115
99,tt4196776,61
100,tt3416828,80
101,tt0120616,42
102,tt3486626,46
103,tt2869728,28
104,tt3315342,106
105,tt1972591,80
106,tt3416532,53
107,tt3014284,48
108,tt1700841,53
109,tt4438848,51
110,tt4361050,33
111,tt3183660,102
112,tt3748528,143
113,tt3874544,68
114,tt3691740,64
115,tt3896198,167
116,tt3731562,89
117,tt3717490,85
118,tt4786282,43
119,tt3110958,97
120,tt4030600,27
121,tt1386697,143
122,tt2543472,48
123,tt1355631,33
124,tt4116284,69
125,tt4136084,33
126,tt1211837,119
127,tt2025690,45
128,tt3462710,25
129,tt2404435,58
130,tt4276820,49
131,tt2823054,31
132,tt4094724,43
133,tt4302938,49
134,tt2034800,90
135,tt3470600,101
136,tt2788732,72
137,tt1219827,102
138,tt0498381,53
139,tt2660888,131
140,tt2119532,64
141,tt2250912,107
142,tt4481514,26
143,tt2771200,143
144,tt3212232,25
145,tt2241351,52
146,tt1974419,64
147,tt4572514,41
148,tt4196450,26
149,tt1878870,21
150,tt4465564,76
151,tt4630562,78
152,tt4550098,53
153,tt4624424,76
154,tt2543164,80
155,tt3783958,78
156,tt4425200,76
157,tt4651520,52
158,tt2582782,36
159,tt0443533,9
160,tt4669186,5
161,tt4287320,45
162,tt3960412,11
163,tt2865120,25
164,tt4160708,43
165,tt4649416,9
166,tt3631112,61
167,tt4139124,22
168,tt3263904,48
169,tt4776998,18
170,tt2568862,40
171,tt4972582,54
172,tt4034354,22
173,tt1966359,26
174,tt4052882,51
175,tt2283362,76
176,tt4520364,20
177,tt4939066,14
178,tt1730768,32
179,tt3103166,2
180,tt3393786,58
181,tt4501244,38
182,tt4846340,54
183,tt3401882,33
184,tt5052448,51
185,tt4669986,17
186,tt2763304,35
187,tt1082807,20
188,tt1753383,42
189,tt4981636,15
190,tt3553442,23
191,tt3367294,2
192,tt4254584,7
193,tt5247022,24
194,tt4387040,7
195,tt0061210,1
196,tt3531824,47
197,tt5140878,62
198,tt4972062,5
199,tt2032572,21
200,tt5646136,4
201,tt4799050,70
202,tt1974420,22
203,tt2822672,38
204,tt4540710,34
205,tt4950110,6
206,tt1711525,65
207,tt5442430,72
208,tt3576728,8
209,tt1540011,32
210,tt6003368,24
211,tt5719700,37
212,tt1619029,22
213,tt2261287,57
214,tt6322922,16
215,tt5462602,35
216,tt2582230,1
217,tt5322012,23
218,tt4849438,28
219,tt4383288,9
220,tt0478970,114
221,tt1655441,36
222,tt3508840,31
223,tt1431045,100
224,tt1608290,45
225,tt1674771,45
226,tt1124037,45
227,tt3719896,8
228,tt1594972,42
229,tt0803096,95
230,tt1374989,55
231,tt1951266,130
232,tt2267968,55
233,tt2452042,117
234,tt2488496,223
235,tt2510894,65
236,tt0120667,45
237,tt2726560,31
238,tt2277860,116
239,tt2709768,69
240,tt1985949,88
241,tt1628841,85
242,tt1001549,0
243,tt1002563,10
244,tt1340138,84
245,tt2379713,108
246,tt3095734,24
247,tt2975590,116
248,tt2554274,75
249,tt2361317,42
250,tt2381991,80
251,tt2381249,74
252,tt3195644,36
253,tt3319920,39
254,tt3040964,102
255,tt3385516,98
256,tt2918436,28
257,tt3332064,76
258,tt2404233,75
259,tt3410834,99
260,tt3498820,189
261,tt2719848,58
262,tt0097757,80
263,tt0918940,75
264,tt1527788,39
265,tt2199571,46
266,tt2381941,58
267,tt2561572,30
268,tt3381008,48
269,tt2361509,51
270,tt3065204,50
271,tt1292566,43
272,tt1051904,58
273,tt2446042,76
274,tt3659388,95
275,tt2555736,31
276,tt3450650,36
277,tt2268016,29
278,tt3530002,26
279,tt3045616,40
280,tt1850457,36
281,tt3300542,72
282,tt0061722,46
283,tt0052618,37
284,tt3623726,27
285,tt3488710,67
286,tt2967224,26
287,tt2649554,35
288,tt0102685,48
289,tt3369806,17
290,tt2515034,40
291,tt1727776,29
292,tt3567288,33
293,tt3387542,37
294,tt2446980,49
295,tt1524575,21
296,tt3682448,58
297,tt1398426,27
298,tt1355683,71
299,tt1663202,72
300,tt2752772,18
301,tt3460252,118
302,tt1666801,27
303,tt2674426,47
304,tt2304933,72
305,tt3622592,32
306,tt3231054,29
307,tt1618442,74
308,tt1895587,48
309,tt3838992,12
310,tt1860357,67
311,tt3799694,66
312,tt0396555,41
313,tt2938956,43
314,tt1524930,40
315,tt1712261,51
316,tt2248739,6
317,tt3850590,31
318,tt0477051,29
319,tt3949660,74
320,tt1741273,36
321,tt2980210,28
322,tt1860213,62
323,tt2513074,28
324,tt4034228,31
325,tt4046784,99
326,tt1641841,20
327,tt2494362,35
328,tt3499096,27
329,tt0048280,75
330,tt0491203,29
331,tt2140479,53
332,tt3276924,39
333,tt3152624,44
334,tt3614530,16
335,tt3247714,34
336,tt4062536,24
337,tt0475290,78
338,tt4172430,67
339,tt3741834,64
340,tt2080374,37
341,tt2126235,30
342,tt2582500,35
343,tt3774114,43
344,tt2948356,138
345,tt3170832,39
346,tt3760922,28
347,tt3787590,40
348,tt3859304,20
349,tt3172532,11
350,tt3850214,25
351,tt2582496,29
352,tt2005151,37
353,tt3014866,40
354,tt3813310,19
355,tt2309260,20
356,tt2872750,53
357,tt4082068,22
358,tt1389139,13
359,tt5770620,10
360,tt2702724,28
361,tt1596363,55
362,tt1837636,24
363,tt4056738,10
364,tt4263482,35
365,tt3453052,3
366,tt0328880,52
367,tt2279339,35
368,tt3322364,42
369,tt0452681,20
370,tt1798684,50
371,tt3862750,12
372,tt3687310,11
373,tt3262990,4
374,tt4158096,47
375,tt3397884,74
376,tt3139764,1
377,tt2400463,14
378,tt3076658,55
379,tt3742378,23
380,tt2401878,27
381,tt2780714,1
382,tt3110770,4
383,tt3672840,33
384,tt2936180,14
385,tt0219699,18
386,tt3882082,43
387,tt3658772,24
388,tt1083452,31
389,tt2057392,37
390,tt4411618,11
391,tt2888046,25
392,tt2402927,44
393,tt2006295,30
394,tt3316948,46
395,tt1105355,2
396,tt0120888,23
397,tt1620935,20
398,tt1703957,30
399,tt1658801,35
400,tt3628584,12
401,tt1179933,54
402,tt4667094,34
403,tt2369317,13
404,tt4257926,26
405,tt1781827,27
406,tt1528854,47
407,tt3464902,40
408,tt3569230,51
409,tt3808342,33
410,tt4682786,44
411,tt4337690,12
412,tt0765010,29
413,tt2631186,31
414,tt3157318,1
415,tt3781476,67
416,tt4462082,1
417,tt2910904,30
418,tt2937696,27
419,tt2311428,1
420,tt1754656,48
421,tt3566698,9
422,tt4501454,19
423,tt2265431,1
424,tt5001130,2
425,tt4824308,12
426,tt2460506,1
427,tt3401748,11
428,tt1817771,16
429,tt3277624,6
430,tt3457376,2
431,tt4975722,32
432,tt3182620,11
433,tt4707756,2
434,tt4333662,1
435,tt1220911,10
436,tt3606888,17
437,tt4057916,9
438,tt4733536,10
439,tt4191580,7
440,tt3856124,1
441,tt2950418,3
442,tt4871980,5
443,tt4591310,22
444,tt4698684,25
445,tt1412528,15
446,tt0104412,17
447,tt4238858,5
448,tt0486583,27
449,tt0369610,120
450,tt1137470,16
451,tt1126590,36
452,tt1029360,39
453,tt1086772,39
454,tt1392190,139
455,tt0829150,52
456,tt2170593,29
457,tt1020072,26
458,tt1390411,70
459,tt1355630,29
460,tt1946381,17
461,tt0816692,138
462,tt1204977,26
463,tt0787474,47
464,tt1121096,58
465,tt2015381,158
466,tt1979388,102
467,tt2279373,52
468,tt1843866,133
469,tt1959490,68
470,tt2103281,88
471,tt1877832,132
472,tt1951265,142
473,tt2369135,55
474,tt2310332,155
475,tt2395427,152
476,tt2224026,78
477,tt1840309,67
478,tt2293640,102
479,tt1911658,75
480,tt0831387,78
481,tt2262227,34
482,tt1826590,11
483,tt1964418,85
484,tt1790864,99
485,tt0120787,18
486,tt0113277,62
487,tt2692250,74
488,tt2357291,66
489,tt1291150,91
490,tt2209764,72
491,tt1617661,74
492,tt1823664,34
493,tt2802144,83
494,tt2239832,15
495,tt2820852,99
496,tt2713180,94
497,tt2294449,49
498,tt1956620,45
499,tt2247476,11
500,tt2103254,27
501,tt2377322,44
502,tt2203939,47
503,tt2828996,21
504,tt0120783,38
505,tt2557490,64
506,tt2245084,119
507,tt1528100,74
508,tt2318092,20
509,tt1976009,31
510,tt2980706,52
511,tt2980648,31
512,tt2333784,114
513,tt2180411,83
514,tt2978462,16
515,tt2096673,125
516,tt1661199,74
517,tt1809398,40
518,tt1216491,35
519,tt1872194,45
520,tt2788710,38
521,tt2637276,51
522,tt1823672,78
523,tt2473602,20
524,tt1109624,50
525,tt2205401,9
526,tt0435651,41
527,tt2097298,19
528,tt2106361,35
529,tt2170439,42
530,tt0092890,43
531,tt2582846,38
532,tt1742334,50
533,tt2267998,57
534,tt1972779,22
535,tt1742044,24
536,tt2358925,40
537,tt3079380,54
538,tt2975578,45
539,tt2140037,34
540,tt2096672,54
541,tt2717822,47
542,tt3181822,38
543,tt2771372,18
544,tt2223990,20
545,tt2126355,54
546,tt2872732,58
547,tt2908446,104
548,tt1924435,36
549,tt1600196,34
550,tt2955096,12
551,tt1065073,33
552,tt1972571,33
553,tt3099498,17
554,tt3014666,17
555,tt2870612,31
556,tt2848292,38
557,tt0884732,28
558,tt2345737,31
559,tt1430612,50
560,tt2910814,24
561,tt2910274,20
562,tt2870708,38
563,tt1791528,57
564,tt1243974,22
565,tt2402157,41
566,tt1241226,1
567,tt1810683,10
568,tt2398249,14
569,tt2231253,39
570,tt2465146,33
571,tt0119432,11
572,tt0343737,39
573,tt2467046,35
574,tt2884206,25
575,tt1971325,64
576,tt2562232,73
577,tt2980516,43
578,tt2140619,15
579,tt2582802,42
580,tt2182972,17
581,tt2403393,27
582,tt2084970,67
583,tt2473794,20
584,tt2305051,36
585,tt2752688,11
586,tt2883434,11
587,tt3235888,49
588,tt1781922,41
589,tt2179136,64
590,tt2679042,47
591,tt3072636,1
592,tt2398231,25
593,tt2113659,7
594,tt0470752,56
595,tt2872718,54
596,tt0120873,32
597,tt3125324,7
598,tt2366608,30
599,tt0112403,2
600,tt0124315,20
601,tt2295722,6
602,tt3322940,37
603,tt1798243,14
604,tt2800038,7
605,tt3612616,30
606,tt2893490,13
607,tt2503944,44
608,tt2630916,2
609,tt2246526,2
610,tt3504048,9
611,tt1014763,65
612,tt2994190,11
613,tt2911666,61
614,tt2556874,13
615,tt1881002,30
616,tt2515030,19
617,tt1791682,37
618,tt2784678,9
619,tt4003774,1
620,tt0085244,14
621,tt3179568,16
622,tt2547584,36
623,tt3214286,3
624,tt2474024,8
625,tt1018765,22
626,tt3148834,33
627,tt3569356,1
628,tt0151738,24
629,tt0492044,25
630,tt0821640,27
631,tt2494384,11
632,tt0443465,15
633,tt2937898,28
634,tt2039393,31
635,tt3230082,10
636,tt2321549,26
637,tt3268668,18
638,tt1772288,31
639,tt2667960,13
640,tt3316960,34
641,tt1921149,23
