num,imdb_id,number_of _posters,total_box_office,with_adjusted_box_office,total_label
1,tt1825683,108,1273623549,1273623549,9
2,tt3890160,79,228104185,228104185,9
3,tt1389072,55,39210035,39210035,1
4,tt1648190,95,113019314,113019317,5
5,tt2380307,71,780299991,780299991,9
6,tt3411444,53,290816813,290816813,9
7,tt2527336,163,62011755,62011755,3
8,tt3450958,86,490280162,490280162,9
9,tt3469046,80,1034542646,1034542646,9
10,tt1981128,55,220800160,220800160,9
11,tt2091256,39,123261024,123261024,6
12,tt2557478,48,214600188,214600188,9
13,tt0974015,151,655953446,655953446,9
14,tt3501632,105,850653412,850653412,9
15,tt1856101,99,259143008,259143008,9
16,tt4500922,59,283923129,283923129,9
17,tt3532216,47,135581390,135581390,6
18,tt4477536,44,368222687,368224217,9
19,tt4701724,32,37249529,37249529,1
20,tt2798920,41,32158866,32158866,1
21,tt2239822,106,215116144,215116144,9
22,tt2334871,27,57852177,57852181,2
23,tt3402236,94,349213586,349213586,9
24,tt1469304,106,176533570,176533570,8
25,tt1677720,60,181520163,181520163,9
26,tt5013056,56,499518504,499518504,9
27,tt4649466,106,408834838,408834838,9
28,tt2406566,67,98368372,98368372,4
29,tt1959563,69,172779292,172779292,8
30,tt5301662,13,10111433,10111433,0
31,tt4877122,42,216807812,216807812,9
32,tt1758810,52,43232849,43232849,2
33,tt2296777,16,30822216,30822216,1
34,tt1365519,35,246895273,246895273,9
35,tt1620680,62,104499038,104499038,5
36,tt2873282,43,129879149,129879149,6
37,tt3564472,20,140799130,140799130,7
38,tt3829920,26,21121365,21121365,1
39,tt3371366,112,603968683,603968683,9
40,tt2039338,60,45075341,45075345,2
41,tt5721088,8,6709821,6709821,0
42,tt1396484,79,697459228,697459228,9
43,tt5117670,47,229932640,229932640,9
44,tt3348730,66,102630330,102630330,5
45,tt1072748,29,38695437,38695437,1
46,tt5001718,30,61621140,61621144,3
47,tt5580036,41,46028167,46028167,2
48,tt6359956,37,127710659,127710659,6
49,tt5657846,33,176154137,176154137,8
50,tt4695012,28,17387100,17387100,0
51,tt2704998,26,101241223,101241223,5
52,tt5439796,42,39272484,39272484,1
53,tt6294822,41,168684291,168684291,8
54,tt1259528,30,74847622,74847622,3
55,tt1413492,32,62259206,62259206,3
56,tt2776878,11,9718331,9718331,0
57,tt6288250,10,1471090,1471093,0
58,tt4663548,8,5941994,5941995,0
59,tt4103724,2,16326769,16326769,0
60,tt5027774,58,155228423,155228423,7
61,tt1137450,28,40836098,40836098,2
62,tt5580390,71,190500483,190500483,9
63,tt5308322,46,124967272,124967272,6
