tt1825683	Black Panther
tt3890160	Baby Driver
tt1389072	Downsizing
tt1648190	Dark Tower The
tt2380307	Coco 
tt3411444	Ferdinand
tt2527336	Star The
tt3450958	War for the Planet of the Apes
tt3469046	Despicable Me 3
tt1981128	Geostorm
tt2091256	Captain Underpants The First Epic Movie
tt2557478	Pacific Rim Uprising
tt0974015	Justice League 
tt3501632	Thor Ragnarok
tt1856101	Blade Runner 2049
tt4500922	Maze Runner The Death Cure
tt3532216	American Made
tt4477536	Fifty Shades Freed
tt4701724	Early Man 
tt2798920	Annihilation
tt2239822	Valerian and the City of a Thousand Planets 
tt2334871	Snatched 
tt3402236	Murder on the Orient Express 
tt1469304	Baywatch
tt1677720	Ready Player One
tt5013056	Dunkirk
tt4649466	Kingsman The Golden Circle
tt2406566	Atomic Blonde
tt1959563	Hitmans Bodyguard The
tt5301662	Marshall
tt4877122	Emoji Movie The
tt1758810	Snowman The 
tt2296777	Sherlock Gnomes 
tt1365519	Tomb Raider 
tt1620680	Wrinkle in Time A 
tt2873282	Red Sparrow
tt3564472	Girls Trip
tt3829920	Only the Brave 
tt3371366	Transformers The Last Knight
tt2039338	Flatliners 
tt5721088	Just Getting Started
tt1396484	It 
tt5117670	Peter Rabbit 
tt3348730	Jigsaw 
tt1072748	Winchester
tt5001718	Everything Everything
tt5580036	I Tonya
tt6359956	Bad Moms Christmas A
tt5657846	Daddys Home 2
tt4695012	It Comes at Night
tt2704998	Game Night 
tt5439796	Logan Lucky
tt6294822	Post The
tt1259528	Den of Thieves
tt1413492	12 Strong
tt2776878	Thank You for Your Service 
tt6288250	Patti Cakes
tt4663548	All Saints 
tt4103724	Forever My Girl 
tt5027774	Three Billboards Outside Ebbing Missouri
tt1137450	Death Wish 
tt5580390	Shape of Water The
tt5308322	Happy Death Day
tt0465234	National Treasure Book of Secrets
tt1615160	Foreigner The 
tt6217804	Tyler Perrys Boo 2 A Madea Halloween
tt6063050	Acrimony
tt6802308	15 17 to Paris The
tt6000478	Roman J Israel Esq
tt4925292	Lady Bird 
tt5727282	Borg vs McEnroe
tt6450186	I Can Only Imagine
tt7388562	Paul Apostle of Christ
tt5164432	Love Simon
tt6175394	Posledniy Bogatyr 
tt0117008	Matilda 
tt5360952	Hurricane Heist The
tt6101820	Perfectos Desconocidos 
tt0451279	Wonder Woman 
tt1473832	Bridget Joness Baby
tt0493405	Chips 
tt1489889	Central Intelligence
tt1289401	Ghostbusters 
tt1485796	Greatest Showman The
tt0490215	Silence 
tt3062096	Inferno
tt1355644	Passengers 
tt1293847	xXx Return of Xander Cage
tt1666185	All Eyez on Me
tt1679335	Trolls
tt2398241	Smurfs The Lost Village
tt1790809	Pirates of the Caribbean Dead Men Tell No Tales
tt2592614	Resident Evil The Final Chapter
tt2094766	Assassins Creed
tt1935859	Miss Peregrines Home for Peculiar Children
tt3521164	Moana 
tt2316204	Alien Covenant
tt2567026	Alice Through the Looking Glass
tt4196776	Jason Bourne
tt3416828	Ice Age Collision Course
tt0120616	Mummy The 
tt3486626	Nut Job 2 Nutty by Nature The
tt2869728	Ride Along 2
tt3315342	Logan 
tt1972591	King Arthur Legend of the Sword
tt3416532	Monster Calls A
tt3014284	Lego Ninjago Movie The
tt1700841	Sausage Party
tt4438848	Neighbors 2 Sorority Rising
tt4361050	Ouija Origin of Evil
tt3183660	Fantastic Beasts and Where to Find Them
tt3748528	Rogue One A Star Wars Story
tt3874544	Boss Baby The
tt3691740	BFG The 
tt3896198	Guardians of the Galaxy Vol 2
tt3731562	Kong Skull Island
tt3717490	Power Rangers 
tt4786282	Lights Out 
tt3110958	Now You See Me 2
tt4030600	Bye Bye Man The
tt1386697	Suicide Squad
tt2543472	Wonder 
tt1355631	Infiltrator The
tt4116284	Lego Batman Movie The
tt4136084	Florence Foster Jenkins
tt1211837	Doctor Strange 
tt2025690	Finest Hours The
tt3462710	Unforgettable 
tt2404435	Magnificent Seven The 
tt4276820	Founder The
tt2823054	Mike and Dave Need Wedding Dates
tt4094724	Purge The Election Year
tt4302938	Kubo and the Two Strings
tt2034800	Great Wall The
tt3470600	Sing 
tt2788732	Petes Dragon 
tt1219827	Ghost in the Shell
tt0498381	Rings 
tt2660888	Star Trek Beyond
tt2119532	Hacksaw Ridge
tt2250912	Spider Man Homecoming
tt4481514	House The 
tt2771200	Beauty and the Beast 
tt3212232	I Am Wrath
tt2241351	Money Monster
tt1974419	Neon Demon The
